"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CYTX","Cytori Therapeutics Inc","3.45","202553746.95","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cytx",
"CYTXW","Cytori Therapeutics Inc","1.21","0","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cytxw",
"DTLK","Datalink Corporation","8.12","146681580.08","n/a","1999","Technology","EDP Services","http://www.nasdaq.com/symbol/dtlk",
"DLIA","dELIA*s Inc.","1.39","44041297.93","n/a","1996","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/dlia",
"DGAS","Delta Natural Gas Company, Inc.","19.65","133726463.7","n/a","1981","Public Utilities","Oil & Gas Production","http://www.nasdaq.com/symbol/dgas",
"DSWL","Deswell Industries, Inc.","2.8","46907338.8","n/a","1995","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/dswl",
"DIAL","Dial Global, Inc.","2.56","145963420.16","n/a","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/dial",
"DLGC","Dialogic, Inc.","0.5","35977153","n/a","1994","Technology","EDP Services","http://www.nasdaq.com/symbol/dlgc",
"DCIX","Diana Containerships Inc.","5.66","176457071.26","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dcix",
"DMRC","Digimarc Corporation","22.34","159173952.1","n/a","1999","Technology","EDP Services","http://www.nasdaq.com/symbol/dmrc",
"DRAD","Digirad Corporation","1.99","39935417.51","n/a","2004","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/drad",
"MKTS","Direct Markets Holdings Corp.","0.124","4040229.876","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/mkts",
"DITC","Ditech Networks, Inc.","0.7802","20983450.1326","n/a","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ditc",
"HILL","Dot Hill Systems Corporation","1.17","68106334.14","n/a","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/hill",
"DRTX","Durata Therapeutics, Inc.","9.56","175673403.24","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/drtx",
"DRRX","Durect Corporation","1.08","94671872.28","n/a","2000","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/drrx",
"DUSA","DUSA Pharmaceuticals, Inc.","5.4","135005443.2","n/a","1992","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/dusa",
"DYAX","Dyax Corp.","2.38","235703723.64","n/a","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/dyax",
"DYII","Dynacq Healthcare, Inc.","0.556","8086256.056","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/dyii",
"DRCO","Dynamics Research Corporation","5.92","62106009.6","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/drco",
"DYSL","Dynasil Corporation of America","1.4599","21590683.0048","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dysl",
"EOPN","E2open, Inc.","13.87","345762400.52","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/eopn",
"EBMT","Eagle Bancorp Montana, Inc.","10.25","39759452.75","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ebmt",
"EML","Eastern Company (The)","18.515","115145173.815","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/eml",
"EIHI","Eastern Insurance Holdings, Inc.","16.92","133847504.28","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/eihi",
"EEI","Ecology and Environment, Inc.","12.19","51745672.32","n/a","1987","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/eei",
"EDAP","EDAP TMS S.A.","1.79","33264377.29","18583451","1997","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/edap",
"EDGW","Edgewater Technology, Inc.","3.94","44636260","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/edgw",
"EDUC","Educational Development Corporation","3.95","15511448.55","n/a","n/a","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/educ",
"BAGL","Einstein Noah Restaurant Group, Inc.","17.89","303418639.93","n/a","1995","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bagl",
"LONG","eLong, Inc.","15.91","183594065.49","11539539","1987","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/long",
"ELOQ","Eloqua, Inc.","14.1","451728947.4","n/a","2000","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/eloq",
"EMKR","EMCORE Corporation","4.91","118139239.95","n/a","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/emkr",
"NYNY","Empire Resorts, Inc.","1.89","56744012.43","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/nyny",
